doi,dataset_url,dataset_domain,dataset_type,dataset_source_category
10.1016/j.trd.2024.104196,https://doi.org/10.5281/zenodo.10552812,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2023.104374,https://10.13130/RD_UNIMI/JEA5XX,None,other,other_web
10.1016/j.tra.2022.09.017,https://gogs.univ-littoral.fr/mkilani/scbd,gogs.univ-littoral.fr,other,other_web
10.1016/j.tra.2022.09.017,https://github.com/mkilani-dev/scbd,github.com,code_host,code_host
10.1016/j.trc.2021.103466,https://github.com/snu-adsl/ddpgcn-dataset,github.com,code_host,code_host
10.1016/j.tre.2022.102812,https://github.com/ivangipa/FirstMile,github.com,code_host,code_host
10.1016/j.tra.2020.07.017,https://github.com/to-be-confirmed,github.com,code_host,code_host
10.1016/j.trd.2021.102720,https://figshare.com/articles/Ciclists_survey_in_Puerto_Madryn_2017/11886909.v2,figshare.com,open_repo,open_repo_doi
10.1016/j.trd.2021.102720,https://figshare.com/articles/Cyclists_mobility_survey_in_Puerto_Madryn_2019/11886933.v1,figshare.com,open_repo,open_repo_doi
10.1016/j.trf.2024.05.003,https://osf.io/qbtgh,osf.io,open_repo,open_repo_doi
10.1016/j.trc.2023.104315,https://github.com/mie-lab/location-prediction,github.com,code_host,code_host
10.1016/j.trb.2020.06.003,https://github.com/oneoldfriend/MIQP-For-MD-MT-VRP,github.com,code_host,code_host
10.1016/j.trf.2024.05.015,https://github.com/Pascal-Jansen/VisualizingAutomatedVehicleFunctionalities,github.com,code_host,code_host
10.1016/j.trb.2021.10.007,https://researchdatafinder.qut.edu.au/display/n1527,researchdatafinder.qut.edu.au,other,other_web
10.1016/j.trb.2021.10.007,https://gitfront.io/r/user-2155396/0d36a5b7ee124a4115e8f5f4fbba3483540935fe/ZA_Paper_Code,gitfront.io,other,other_web
10.1016/j.trd.2022.103439,https://data.transportation.gov/Automobiles/Next-Generation-Simulation-NGSIM-Vehicle-Trajector/8ect-6jqj,data.transportation.gov,other,gov_open_data
10.1016/j.trd.2022.103439,https://github.com/CATS-Lab-USF/HIGH-Sim,github.com,code_host,code_host
10.1016/j.trc.2021.103305,https://doi.org/10.1016/j.trc.2021.103305,doi.org,open_repo,open_repo_doi
10.1016/j.trf.2024.08.008,https://data.townofcary.org/explore/dataset/cassi-in-cary-s-bond-park-rider-survey/information,data.townofcary.org,other,ngo_nonprofit_org
10.1016/j.trc.2018.11.003,https://doi.org/10.5281/zenodo.1205229,doi.org,open_repo,open_repo_doi
10.1016/j.trd.2022.103442,https://github.com/wagnerfe/xml4urbanformanalysis,github.com,code_host,code_host
10.1016/j.trd.2023.103922,https://github.com/Khoshkhah/NRTCalib,github.com,code_host,code_host
10.1016/j.trd.2023.103922,https://doi.org/10.5281/zenodo.8125656,doi.org,open_repo,open_repo_doi
10.1016/j.tra.2022.10.002,https://github.com/ciupava/TPI,github.com,code_host,code_host
10.1016/j.trc.2024.104802,https://github.com/RomainLITUD/conflict_resolution_dataset,github.com,code_host,code_host
10.1016/j.trb.2022.07.001,https://github.com/deborahmit/TasteNet-MNL,github.com,code_host,code_host
10.1016/j.tre.2019.07.002,https://github.com/BUILTNYU,github.com,code_host,code_host
10.1016/j.trc.2023.104401,https://data.mendeley.com/datasets/j36zgxnc5p/2,data.mendeley.com,open_repo,open_repo_doi
10.1016/j.tre.2024.103550,https://github.com/falcopt/FSPD,github.com,code_host,code_host
